Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
5312,NCAA Football 08,PS3,2007,Sports,Electronic Arts,0.35,0.0,0.0,0.03,0.38
5313,ESPN College Hoops 2K5,XB,2004,Sports,Sega,0.29,0.08,0.0,0.01,0.38
5314,Naruto: Clash of Ninja Revolution 2,Wii,2008,Fighting,Tomy Corporation,0.34,0.02,0.0,0.03,0.38
5315,Looney Tunes: Acme Arsenal,PS2,2007,Action,Warner Bros. Interactive,0.19,0.15,0.0,0.05,0.38
5316,SD Gundam G Generation Spirits,PS2,2007,Strategy,Namco Bandai,0.0,0.0,0.38,0.0,0.38
5317,Wolfenstein: The New Order,X360,2014,Shooter,Bethesda Softworks,0.18,0.17,0.0,0.03,0.38
5318,Junior Classic Games,DS,2009,Misc,Take-Two Interactive,0.26,0.09,0.0,0.03,0.38
5319,The Cat in the Hat,GBA,2005,Platform,Jack of All Games,0.27,0.1,0.0,0.01,0.38
5320,Raving Rabbids: Travel in Time 3D,3DS,2011,Platform,Ubisoft,0.11,0.24,0.0,0.04,0.38
5321,NFL GameDay 2002,PS2,2001,Sports,Sony Computer Entertainment,0.19,0.15,0.0,0.05,0.38
5322,Turok: Evolution,GC,2002,Shooter,Acclaim Entertainment,0.3,0.08,0.0,0.01,0.38
5323,Jam Sessions: Sing and Play Guitar (US sales),DS,2007,Misc,Ubisoft,0.38,0.0,0.0,0.0,0.38
5324,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,2002,Strategy,Bandai,0.0,0.0,0.38,0.0,0.38
5325,Ice Age,GBA,2002,Action,Ubisoft,0.27,0.1,0.0,0.01,0.38
5326,Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,2010,Fighting,Namco Bandai,0.13,0.04,0.19,0.03,0.38
5327,Just Dance 4,WiiU,2012,Music,Ubisoft,0.21,0.14,0.0,0.03,0.38
5328,Sega Superstars Tennis,PS2,2008,Sports,Sega,0.1,0.0,0.0,0.28,0.38
5329,Headhunter,PS2,2002,Action,Sega,0.19,0.15,0.0,0.05,0.38
5330,Lego Marvel Super Heroes: Universe in Peril,DS,2013,Action,Warner Bros. Interactive Entertainment,0.22,0.13,0.0,0.03,0.38
5331,Shin Megami Tensei: Devil Summoner,SAT,1995,Role-Playing,Atlus,0.0,0.0,0.38,0.0,0.38
5332,Brunswick Pro Bowling,Wii,2007,Sports,Crave Entertainment,0.35,0.01,0.0,0.03,0.38
5333,Marvel Nemesis: Rise of the Imperfects,GC,2005,Fighting,Electronic Arts,0.3,0.08,0.0,0.01,0.38
5334,Saints Row: The Third,PC,2011,Action,THQ,0.16,0.16,0.0,0.05,0.38
5335,ESPN Extreme Games,PS,1995,Sports,Sony Computer Entertainment,0.11,0.08,0.17,0.03,0.38
5336,Ghost Trick: Phantom Detective,DS,2011,Adventure,Capcom,0.17,0.08,0.12,0.02,0.38
5337,Ninja: Shadow of Darkness,PS,1998,Action,Eidos Interactive,0.21,0.14,0.0,0.02,0.38
5338,SD Gundam G Generation-F,PS,2000,Strategy,Bandai,0.0,0.0,0.36,0.02,0.38
5339,Bratz: Rock Angelz,PS2,2005,Misc,THQ,0.19,0.15,0.0,0.05,0.38
5340,FlatOut,PS2,2005,Racing,Empire Interactive,0.19,0.15,0.0,0.05,0.38
5341,Ice Age: Dawn of the Dinosaurs,DS,2009,Platform,Activision,0.2,0.15,0.0,0.04,0.38
5342,Phoenix Wright: Ace Attorney - Dual Destinies,3DS,2014,Misc,Unknown,0.0,0.0,0.38,0.0,0.38
5343,Iron Man 2,PSP,2010,Action,Sega,0.18,0.13,0.0,0.08,0.38
5344,SSX 3,GC,2003,Sports,EA Sports BIG,0.29,0.08,0.0,0.01,0.38
5345,NCAA Football 11,PS2,2010,Sports,EA Sports,0.19,0.15,0.0,0.05,0.38
5346,Sesame Street: Elmo's A-to-Zoo Adventure,Wii,2010,Misc,Warner Bros. Interactive,0.35,0.0,0.0,0.03,0.38
5347,Disney's Lilo & Stitch 2: Hamsterveil Havoc,GBA,2004,Action,Buena Vista,0.27,0.1,0.0,0.01,0.38
5348,FIFA 13,PSP,2012,Sports,EA Sports,0.06,0.22,0.02,0.08,0.38
5349,Rayman Legends,XOne,2014,Platform,Ubisoft,0.13,0.22,0.0,0.03,0.38
5350,Risk: Global Domination,PS2,2003,Strategy,Atari,0.19,0.15,0.0,0.05,0.38
5351,Tamagotchi Connection: Corner Shop 3,DS,2008,Simulation,Namco Bandai,0.06,0.0,0.31,0.01,0.38
5352,Tales of Hearts R,PSV,2014,Role-Playing,Namco Bandai Games,0.11,0.12,0.09,0.07,0.38
5353,Mobile Suit Gundam version 2.0,PS,1996,Action,Bandai,0.0,0.0,0.36,0.02,0.38
